RealTime,UnityTime,GazeValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeRotX,GazeRotY,GazeRotZ,GazeRotW,GazeDirX,GazeDirY,GazeDirZ,HitPainting,ImageX,ImageY,HitPointX,HitPointY,HitPointZ,HitDistance
2026-08-21 14:25:55.171,17.53428,False,18.79643,1.115229,-8.603271,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.186,17.5889,False,18.79659,1.115204,-8.603355,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.223,17.63095,False,18.79655,1.115157,-8.603393,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.259,17.66743,False,18.79639,1.115149,-8.60336,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.303,17.71215,False,18.79599,1.115049,-8.603248,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.347,17.75625,False,18.79577,1.114955,-8.603172,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.396,17.80398,False,18.79547,1.114922,-8.602899,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.437,17.8452,False,18.79573,1.114961,-8.602535,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.483,17.8913,False,18.79635,1.115259,-8.601836,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.525,17.93454,False,18.7984,1.115789,-8.599416,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.570,17.97857,False,18.80146,1.116701,-8.596144,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.605,18.01458,False,18.80495,1.117424,-8.592396,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.648,18.05619,False,18.81131,1.118457,-8.586982,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.699,18.10694,False,18.8209,1.120042,-8.580063,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.739,18.14811,False,18.82703,1.120876,-8.576418,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.782,18.18969,False,18.83488,1.122038,-8.572285,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-08-21 14:25:55.815,18.22315,False,18.84093,1.123146,-8.569277,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
