RealTime,UnityTime,GazeValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeRotX,GazeRotY,GazeRotZ,GazeRotW,GazeDirX,GazeDirY,GazeDirZ,HitPainting,ImageX,ImageY,HitPointX,HitPointY,HitPointZ,HitDistance
2026-06-29 11:51:36.734,0,False,19.099,1.36144,-9.44,0,0,0,0,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:37.056,0.07685219,False,21.78105,1.21783,-6.726253,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.464,0.4101855,False,21.78116,1.160741,-6.726318,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.506,0.4529661,False,21.78096,1.160715,-6.726219,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.547,0.4939061,False,21.78097,1.16078,-6.726248,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.583,0.5303324,False,21.78103,1.160702,-6.726224,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.623,0.569954,False,21.78106,1.160752,-6.726229,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.665,0.6138688,False,21.78108,1.160738,-6.726302,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.711,0.6585071,False,21.78105,1.16076,-6.726303,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.755,0.7020527,False,21.78107,1.160773,-6.726248,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.799,0.7463625,False,21.78104,1.160715,-6.726262,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.843,0.7909526,False,21.78113,1.160731,-6.726301,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.882,0.8295404,False,21.78107,1.160764,-6.726253,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.921,0.8679791,False,21.78103,1.160669,-6.72617,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:38.970,0.9170997,False,21.78108,1.16067,-6.7262,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.009,0.9571021,False,21.78108,1.160722,-6.726209,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.043,0.9914467,False,21.78111,1.160796,-6.726261,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.083,1.030187,False,21.78102,1.160666,-6.726357,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.121,1.06847,False,21.78097,1.160702,-6.726201,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.155,1.102886,False,21.78089,1.160695,-6.726162,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.191,1.138516,False,21.78085,1.160688,-6.726269,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
2026-06-29 11:51:39.234,1.181082,False,21.78091,1.160605,-6.726148,0,0,0,1,0,0,1,False,-1,-1,0,0,0,-1
